title,author_name,author-id,year,slug,track
Translating From a Translation? Practical and Ethical Considerations,Sebastian Floor,sebastian-floor,2025,2025-31588502,"Methodologies, Media, and Multimodality|Technology and Resources|Live Only"
"Ethics, the Apostles and the Old Testament",Stuart Foster,stuart-foster,2025,2025-31588539,"Theology, Hermeneutics, and Exegesis"
Ethics in a Checking Session,Rita Fotso,rita-fotso,2025,2025-31588547,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis|Remote Presenter"
BEEKMAN LECTURE 2: Job’s Missional Ethic in the Context of God’s Mission and Bible Translation,Dr. Kirk Franklin,kirk-franklin,2025,2025-31946728,Plenary
Insights From MAT Workshops Into Motivations for Bible Translation – Instruments or Symbols?,Maik Gibson & Ken Dekker,ken-decker-maik-gibson,2025,2025-31588441,Church and Community
The Ethics of Word Choice in Bible Translation: A Socio-Scientific Approach,David Gray,david-gray,2025,2025-31588561,"Communication and Context|Theology, Hermeneutics, and Exegesis"
"Who is the Dumb Consultant Who Approved This? (Oh, It Was Me!) How Ethical is Parachute Consulting?",Randy Groff,randy-groff,2025,2025-31588580,"Theology, Hermeneutics, and Exegesis|Training and Mentoring"
How Lines Matter in Biblical Poetry: The Song of the Sea (Exodus 15:1-18) as a Case Study,Emmylou Grosser,emmylou-grosser,2025,2025-31588525,"Theology, Hermeneutics, and Exegesis"
Translation Approaches of the Jesus Film,"Jon Haahr, Elly Gudo, Tano Emboc",jon-haahr-elly-gudo-tano-emboc,2025,2025-31588516,"Methodologies, Media, and Multimodality|Technology and Resources|Training and Mentoring|Live Only"
Computer Assisted Adaptive Translation for the Neurodiverse and Other Audiences,Harry Harm,harry-harm,2025,2025-31588485,"Technology and Resources|Theology, Hermeneutics, and Exegesis|Remote Presenter|Neurodiversity"
Imago Dei and Identity: Theological and Ethical Dimensions,Bryan Harmelink,bryan-harmelink,2025,2025-31588543,"Theology, Hermeneutics, and Exegesis"
Bible Translation as Theological and Ecclesiological Change – Transparency and Mismatches,Timothy Hatcher,timothy-hatcher,2025,2025-31588582,"Church and Community|Theology, Hermeneutics, and Exegesis|Training and Mentoring|Remote Presenter"
Storming the Kingdom: Evidence for Koine Mother Tongue Exegesis of Matthew 11:12,Philip W. Hawke,philip-w-hawke,2025,2025-31588528,"Theology, Hermeneutics, and Exegesis"
The Privilege of First Draft: Technical and Ethical Aspects of Using AI to Draft Scripture,"Judy Heath, et al",judy-heath,2025,2025-31588512,"Methodologies, Media, and Multimodality|Technology and Resources|Theology, Hermeneutics, and Exegesis"
"NIDA LECTURE: Ethics in Bible Translation: Considerations of Equivalence, Space and Structures",Dr. Hephzibah Israel,hephzibah-israel,2025,2025-31918370,Plenary
Community Intelligence Meets AI: Can Local Literacy Programs Improve AI-Generated Scripture?,"Taeho Jang, et al - Part of AI Panel",taeho-jang,2025,2025-31588505,"Church and Community|Methodologies, Media, and Multimodality|Technology and Resources|AI Panel"
"Ready or Not, Here AI Comes! Practical Considerations for Ethical AI Drafting in Bible Translation","Taeho Jang, et al - Part of AI Panel",taeho-jang,2025,2025-31588488,Technology and Resources|AI Panel
Translation Development Event (TDE),"Amber Jasa, Thomas Hemphill",jasa-hemphill,2025,2025-31588569,Training and Mentoring
"Subdue, Rule, Cultivate, & Keep: Considerations for Translating Four Verbs in the Creation Narrative",Michael Jemphrey,michael-jemphrey,2025,2025-31588534,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
Imperative for Engagement Domains With Minority Languages,JF,jf,2025,2025-31588454,Church and Community|Remote Presenter
A Strategy for Improving the Quality of Target Language Structures in Bible Translation,Andreas Joswig,andreas-joswig,2025,2025-31588513,Technology and Resources|Training and Mentoring
Empowering Translators: The Ethical Responsibility of Exegetes,Peter Kamande Thuo,kamande-thuo,2025,2025-31588583,"Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis|Training and Mentoring"
Benefits and Ethical Considerations Involved Using Complementary Theoretical Frameworks in Bible Translation,Onesmus Kamwara & Helga Schroeder,kamwara-schroder,2025,2025-31588458,Communication and Context
"CANCELED Getting Weird: Integrating ""Defamiliarization"" into Bible Translation Studies",Eidan Keiran,eidan-keiran,2025,2025-31588566,"Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis|Live Only"
Aligning Translation Projects with Wycliffe Philosophy on Bible Translation: Bridging Impact,Paul Kawuldim Kimbi,paul-kimbi,2025,2025-31588475,"Church and Community|Communication and Context|Methodologies, Media, and Multimodality"
Ethical Considerations in Translation of Symbols: Case of ‘Oil’ and ‘Wine’ in Kitaita and Kitharaka,Edward Kireti & Onesmus Kamwara,kireti-kamwara,2025,2025-31588564,"Communication and Context|Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis"
Translating the Cultural-Specific Concept ‘manna’ into West Bengal Sign Language,Jabaraj Koilpillai,jabaraj-koilpillai,2025,2025-31588521,"Theology, Hermeneutics, and Exegesis"
The Prince of Rosh and Russia: How a Bible Translation Can Lead to Prejudice,Alexander Kondakov,alexander-kondakov,2025,2025-31588536,"Theology, Hermeneutics, and Exegesis"
Ethical Pitfalls of AI Drafting: Insights from Cognitive Linguistics & Philosophy of Mind,Ryan Douglas Kopke,ryan-doublas-kopke,2025,2025-31588506,"Communication and Context|Methodologies, Media, and Multimodality|Technology and Resources|Remote Presenter"
"Responding to Ethical Issues In and Around Bible Translation: Challenges, Principles and Guidelines",Dick Kroneman,dick-kroneman,2025,2025-31588579,"Methodologies, Media, and Multimodality|Training and Mentoring|Live Only"
The Ethics of Understanding Biblical Geography for Accurate Translation into Indian Sign Language,Praveen Kumar,praveen-kumar,2025,2025-31588553,"Communication and Context|Theology, Hermeneutics, and Exegesis"
The Ethics Surrounding the Translation of Emotionally Charged Phrases,Hikaru Kumon,hikaru-kumon,2025,2025-31588555,"Communication and Context|Theology, Hermeneutics, and Exegesis|Live Only"
"Beyond Ethics: Character, Virtue, and Relationship in the Biblical Walking Conceptual Metaphor",Baruch B. Kvansnica,baruch-kvasnica,2025,2025-31588549,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis|Live Only"
The Zi Scripture Engagement Challenge,Laurence B,laurence-b,2025,2025-31588468,"Methodologies, Media, and Multimodality|Remote Presenter|Live Only"
Acrostic Artistry: Stanza Formation in the Acrostic Psalms,Benjie Leach,menjie-leach,2025,2025-31588529,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
Allusion and Intentionality in the Psalms,Rhoda Leach,rhoda-leach,2025,2025-31588563,"Church and Community|Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis|Remote Presenter"
Repetition in the Hebrew Bible and Its Translation,Noah Lee,noah-lee,2025,2025-31588523,"Theology, Hermeneutics, and Exegesis"
More Than Consumers: Parsing the Claims of AI Through the ‘Thick’ Lens of Our Ancient Theology,Myles Leitch - Part of AI Panel,myles-leitch,2025,2025-31588509,"Church and Community|Technology and Resources|Theology, Hermeneutics, and Exegesis|AI Panel"
Ethical Compromise: A Historical Apology,Doug Liao,doug-liao,2025,2025-31588446,Church and Community
Theological Bias in AI-Generated and AI-Checked Translations: Ethical Implications,Ian Lindsley - Part of AI Panel,ian-lindsley,2025,2025-31588495,Technology and Resources|AI Panel
A Case Study of FLExTrans Performance on the Field,Ron Lockwood- Part of AI Panel,ron-lockwood,2025,2025-31588490,Technology and Resources|AI Panel
Biblical Sarcasm (As If That's A Thing),Glenn Machlan,glenn-machlan,2025,2025-31588559,"Communication and Context|Theology, Hermeneutics, and Exegesis"
Exegeting and Translating Ethical Terms in the Bible: A Comprehensive Approach,Dogara Ishaya Manomi,dogara-ishaya-manomi,2025,2025-31588562,"Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis|Remote Presenter"
Ethics in Bible Translation: A View From an Old Testament Text Critic,"Bradley Marsh, Jr.",bradley-marsh-jr,2025,2025-31588581,"Church and Community|Theology, Hermeneutics, and Exegesis|Training and Mentoring"
Communication Efficacy for an Impactful Bible Translation. An Ethical Evaluation of Translation Strategies Across Four Indian Languages,Sunil Kurien Mathew,sunil-kurien-mathew,2025,2025-31588463,Communication and Context
Ethical Challenges in Translating Literal Styles Into Egyptian Sign Language,Rijo Mathew,rijo-mathew,2025,2025-31588522,"Theology, Hermeneutics, and Exegesis"
Key Term Research in the AI Era: Relevance and Impact,Minie Mathew- Part of AI Panel,minie-mathew,2025,2025-31588515,Communication and Context|Technology and Resources|Training and Mentoring|AI Panel
A Case Study of Church Bible Translation: Ethics of Hospitality,James Maxey,james-maxey,2025,2025-31588439,Church and Community
"Black, White or In Between? On the Ethics of Jesus Images in Films, Bibles and Other Media",Johannes Merz & Sharon Merz,merz-merz,2025,2025-31588478,"Communication and Context|Methodologies, Media, and Multimodality|Live Only"
On the Ethical Dilemma of Analytic Versus Ontonic Views of Words in Translation Practice and Theory,Sharon Merz & Johannes Merz,merz-merz,2025,2025-31588460,Communication and Context
Awe before the Holy: In Search of a Normative Perspective for the Ethics of Bible Translation,Paul Morgan,paul-morgan,2025,2025-31588532,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
Beyond Accuracy: Incarnational Mentoring for Locally Led and Sustainable OBT,"Misikir Mulugeta, John Ferch",mulugeta-ferch,2025,2025-31588577,"Church and Community|Methodologies, Media, and Multimodality|Training and Mentoring"
Holistic Bible Translation Approach for Sustainable Community Transformation,Reuben Muraguri & Irene Chemaiyek,muraguyi-chemaiyek,2025,2025-31588498,Church and Community|Technology and Resources
"Yes, You Can!: Listening to the Voice of the Community by Prioritizing Psalms in BT Projects","Nikki Mustin, Ervais Fotso",mustin-fotso,2025,2025-31588472,"Church and Community|Communication and Context|Methodologies, Media, and Multimodality"
AI and Mother-Tongue Translators: Navigating Ethical and Practical Challenges in Bible Translation,Margaret Muthwii - Part of AI Panel,margaret-muthwii,2025,2025-31588514,Technology and Resources|Training and Mentoring|AI Panel
Ethical Challenges in Dynamic Equivalence Bible Translation,Dr. Prabhakar Nayak,prabhakar-nayak,2025,2025-31588456,Communication and Context
More Than Machines: Human-Centered Ethics in AI in Bible Translation,Joshua Nemecek & Cassie Weishaupt,nemecek-weishaupt,2025,2025-31588491,Technology and Resources
"People, Process, and Product: A Trauma-Informed Bible Translation: Kenyan, Oasis Community Network",Jacob Njagi & Dr. Mercy Mauki,mjagi-mauki,2025,2025-31588457,Communication and Context|Live Only
Witness Protection Program: Implications of a Theocentric View of Creation,Sharon Nordley,sharon-nordley,2025,2025-31588552,"Church and Community|Theology, Hermeneutics, and Exegesis|Remote Presenter"
Southern African Region Mentoring Training Model: A Case of the Word for the World Bible Translators,Vincent Nyoni,vincent-nyoni,2025,2025-31588570,Training and Mentoring
Towards a Professional Code of Ethics in Bible Translation,Linus Otronyi,louis-otronyi,2025,2025-31588483,Communication and Context|Other
“Isn't Bible translation all done now?!”:  Tracking Activities and Needs Beyond ISO 639-3,"Paing, et al",#N/A,2025,2025-31588500,Church and Community|Technology and Resources
To Approve or Not? What Guides Consultants When They are Uncomfortable with the Text Before Them?,Stephen Payne,stephen-payne,2025,2025-31588558,"Communication and Context|Theology, Hermeneutics, and Exegesis"
The Ethics of Metrics: Responsible Data Collection in Bible Translation Technology,Mark Penny & Martin Hosken,#N/A,2025,2025-31588492,Technology and Resources
Ethical Considerations in Translating Metaphors,Paulian T. Petric,paulian-t-petric,2025,2025-31588556,"Communication and Context|Theology, Hermeneutics, and Exegesis|Live Only"
Should Dying Languages Be Excluded from the List of Bible Translation Needs? A Kwak’wela Case Study,Joost Pikkert,joost-pikkert,2025,2025-31588548,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis"
Common Misconceptions About the Masoretic Accents,Sophia Pitcher,sophia-pitcher,2025,2025-31588535,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
Duwo as a Functor in Kanuri and its Roles in Translation,Plangtong Joshua,#N/A,2025,2025-31588557,"Communication and Context|Theology, Hermeneutics, and Exegesis"
“This Bible belongs to us!” Ethical Issues Surrounding A Bible Translation’s Name,Edwin Poh,edwin-poh,2025,2025-31588452,Church and Community|Communication and Context|Live Only
SANNEH LECTURE: Translating with Integrity: Ethical Frameworks for Serving God’s Word and God’s People,Dr. Rux Prompalit,rux-prompalit,2025,2025-31967065,Plenary
Decolonial and Evangelical: Ethics in the First Nations Version New Testament,Alice Reed,alice-reed,2025,2025-31588550,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis"
"Accessible, Persisting Bible Translation:  Faster. Cheaper. Better.",Robin Rempel,robin-rempel,2025,2025-31588518,"Methodologies, Media, and Multimodality|Technology and Resources|Training and Mentoring"
The Emancipating Potential of Source-Languages Within Gateway Language Translation Workflows,Quentin Roca,quentin-roca,2025,2025-31588578,"Church and Community|Methodologies, Media, and Multimodality|Training and Mentoring"
Knowing and Being Known: Pauline Epistemology and Ethics,Daniel Rodriguez,daniel-rodriguez,2025,2025-31588546,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis|Live Only"
Principles of Co-Creativity in Bible Translation,Rich Rudowski,#N/A,2025,2025-31588447,Church and Community|Communication and Context
Consultant Sign Language Training in SLBT: How Much is Enough?,John Samson,john-samson,2025,2025-31588567,Training and Mentoring
"Insisting on Acrostics: Ekoti Experiment on Psalm 112, Process, and BT Ethics","Manuel Calaza Schenkel, Sebastian Floor",#N/A,2025,2025-31588530,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
"Other, Relationship, and Language in Genesis 1 and Ethical Implications for Bible Translation",Graham Scott & David Nicholls,#N/A,2025,2025-31588531,"Theology, Hermeneutics, and Exegesis"
Integration of Scripture Forge into Bible Translation Projects,Jeff Shrum - Part of AI Panel,#N/A,2025,2025-31588503,"Methodologies, Media, and Multimodality|Technology and Resources|AI Panel"
Why Bible Translation Organizations Need Digital Literacy Training with Biblical Ethics,Sheryl Silzer,#N/A,2025,2025-31588493,Technology and Resources|Remote Presenter
"From ""Come back in 20 years to revise your Bible"" Toward Community Copyright, Accessible Tools, and the Power to Improve",Nathaniel Statezni,nathaniel-statenzi,2025,2025-31588501,Church and Community|Technology and Resources
"Economics, Ethics and Theology: Engaging Decision Processes  in Bible Translation",Roman Stefaniw,roman-stefaniw,2025,2025-31588560,"Communication and Context|Theology, Hermeneutics, and Exegesis|Live Only"
Finding a Place for Computer Generated Drafts in the Scripture Drafting Process,Roger Stone & David Duncan - Part of AI Panel,#N/A,2025,2025-31588504,"Methodologies, Media, and Multimodality|Technology and Resources|AI Panel"
Most Readable Bibles: Can Typographic Innovation Increase Comprehension and Interest in Reading?,Roger Stone,roger-stone,2025,2025-31588480,"Communication and Context|Methodologies, Media, and Multimodality"
Widening the Table: An Ethics of Accessible Exegesis and Interpretation,Stephen Stringer & Elisabeth Stringer,#N/A,2025,2025-31588540,"Theology, Hermeneutics, and Exegesis"
"A New Engagement: The Case for Ethical, Trauma-informed Bible Translation",Tricia Stringer,tricia-stringer,2025,2025-31588453,Church and Community|Communication and Context
Breaking the Literate Bias: Exploring the Sufficiency of Oral Bible Translation,"Kris Toler, Susan Toler",#N/A,2025,2025-31588467,"Methodologies, Media, and Multimodality|Live Only"
Translating Away the Animals in the Book of Jonah: The Ecological Ethics of Translation Work,Donna Toulmin,donna-toulmin,2025,2025-31588473,"Church and Community|Communication and Context|Methodologies, Media, and Multimodality"
Harmonizing Voices: Ethics and Community-Based Approaches in Language Development Projects,David Troolin,david-troolin,2025,2025-31588450,Church and Community|Communication and Context
CANCELLED The Meaning and Function of Greek Relative Clauses CANCELLED,John Tuggy,john-tuggy,2025,2025-31588462,Communication and Context|Remote Presenter
I See What You Said: Moving OBT to Print,"Robin Green Ulibarri, Swapna Alexander",#N/A,2025,2025-31588465,"Methodologies, Media, and Multimodality"
"Sacred Names, Sacred Choices: Ethical Dimensions in Translating Divine Names in the Hebrew Bible",Manie Van den Heever,manie-van-den-heever,2025,2025-31588461,Communication and Context
Involving Hearing People and Organizations in Sign Language Translations: Some Ethical Considerations,Bernadet van der Louw,bernadet-van-der-louw,2025,2025-31588443,Church and Community
Clausal Structures and a Bible Translation Consultant,Vinod Wilson Varkey & Dhulipala Balaji,#N/A,2025,2025-31588484,"Communication and Context|Other|Theology, Hermeneutics, and Exegesis|Live Only"
Steering From Harm: Applying an Ethical Research Lens to AI and Bible Translation,Eshinee Veith,eshinee-veith,2025,2025-31588497,Church and Community|Technology and Resources
Help! Who are We? Twenty Ways to Say 'We' in Naro,Hessel Visser,hessel-visser,2025,2025-31588538,"Theology, Hermeneutics, and Exegesis"
"The Translation of Κύριος, a Richly Trinitarian Key Term",Seth Vitrano-Wilson,seth-vitrano-wilson,2025,2025-31588524,"Theology, Hermeneutics, and Exegesis"
Breath or Vanity? Exegetical and Methodological Dilemmas in Rendering הבל Across Cultures,Greg Vruggink,greg-vruggink,2025,2025-31588519,"Theology, Hermeneutics, and Exegesis"
AI Drafting of Scriptures: A Detailed Analysis of the Results in a Language in Papua New Guinea,Martha Wade - Part of AI Panel,#N/A,2025,2025-31588489,Technology and Resources|AI Panel
Results of Local Ownership: Using the Agile Mindset for Translation Quality & Scripture Engagement,Ruthie Wagner,ruthie-wagner,2025,2025-31588572,Church and Community|Communication and Context|Training and Mentoring|Remote Presenter
Different Models of Translation Projects for Different Language Group Capacities,Mark Wannemacher & Steve Doty,#N/A,2025,2025-31588469,"Methodologies, Media, and Multimodality"
Bible Translation Principles for Neurodiverse Audiences,Andy Warren-Rothlin,andy-warren-rothlin,2025,2025-31588487,"Theology, Hermeneutics, and Exegesis|Neurodiversity"
The Clash of the Ideals of the BT Strategy and the On-The-Ground Realities of Language Diversity,Stephen Watters,stephen-watters,2025,2025-31588486,Church and Community|Other
Translation Progress Tracking and the Ethics of Efficiency,Jeff Webster,jeff-webster,2025,2025-31588482,"Methodologies, Media, and Multimodality|Live Only"
Persuasive Technology for Bible Translators: TheWell with BibleOL,Nicolai Winther-Nielsen and Ephrem Tariku,#N/A,2025,2025-31588517,"Methodologies, Media, and Multimodality|Technology and Resources|Training and Mentoring"
DAY 1: Welcome - Music - Devotions,,#N/A,2025,2025-31942888,
Welcome - Announcements - Music - Devotions,,#N/A,2025,2025-31946727,
Engaging Bible Translation Issues in 2025: A Round Table Discussion,,#N/A,2025,2025-31588574,Church and Community|Communication and Context|Training and Mentoring
Welcome - Music - Devotions,,#N/A,2025,2025-31966569,
Engaging Bible Translation Consultants in Research: Ethical and Theological Considerations,,#N/A,2025,2025-31588508,Technology and Resources|AI Panel|Live Only
Discussion Group: AI and Emerging Technologies in Bible Translation,In-person only,#N/A,2025,2025-31966557,Discussion Group (Onsite only)
Discussion Group: Collaboration and Sharing of Translation Resources,In-person only,#N/A,2025,2025-31966559,Discussion Group (Onsite only)
Discussion Group: Diaspora Strategies,In-person only,#N/A,2025,2025-31966562,Discussion Group (Onsite only)
Discussion Group: Multicultural Teamwork,In-person only,#N/A,2025,2025-31966560,Discussion Group (Onsite only)
"Discussion Group: Poetry, Psalms, and the Arts in Translation",In-person only,#N/A,2025,2025-31966558,Discussion Group (Onsite only)
"Discussion Group: Translation, Scripture Engagement, and Transformation",In-person only,#N/A,2025,2025-31966561,Discussion Group (Onsite only)
Welcome - Announcements - Music - Devotions,,#N/A,2025,2025-31966570,
Discussion Group: Capacity Development and Consultant Support,In-person only,#N/A,2025,2025-31966565,Discussion Group (Onsite only)
Discussion Group: Church-Based Bible Translation,In-person only,#N/A,2025,2025-31966567,Discussion Group (Onsite only)
Discussion Group: Future BT Conferences,In-person only,#N/A,2025,2025-31966566,Discussion Group (Onsite only)
Discussion Group: Neurodiversity and Bible Translation,In-person only,#N/A,2025,2025-31966564,Discussion Group (Onsite only)|Neurodiversity
Discussion Group: Oral Bible Translation,In-person only,#N/A,2025,2025-31966563,Discussion Group (Onsite only)
Discussion Group: Sustainability and Funding Models for Bible Translation,In-person only,#N/A,2025,2025-31966568,Discussion Group (Onsite only)
Banquet,,#N/A,2025,2025-31943067,
Embodied Hermeneutics: Embodied Cognition as a Linguistic Foundation for Oral Bible Translation,B Christopher Adams,#N/A,2023,2023-90,Storying and Oral Bible Translation
The Effect of Early Input from Consultants and End Users on the Quality of Oral Bible Translations,Swapna Anna Alexander,swapna-anna-alexander,2023,2023-91,Storying and Oral Bible Translation
Quality Translator Training: Recent Experience in Mozambique,Justino Alfredo; Stuart Foster,#N/A,2023,2023-103,Training and mentoring
"The Bible Translator's Assistant: A Multilingual Natural Language Generator based on Linguistic Universals, Typologies, and Primitives",Tod Allman,#N/A,2023,2023-49,Language technology and Artificial Intelligence
Biblical Language Grammars and the Barriers They Create,Michael Aubrey,#N/A,2023,2023-11,Exegesis and Biblical languages for translators and consultants
"Time for a Review of the Bokyi Bible? Some Sociolinguistic, Orthography, and Discourse Concerns.",Kierien Ayugha,#N/A,2023,2023-32,"Language program management, Community engagement, and Project Briefs"
"Testing Quality: Rationale, Goals, and Methods of Community Testing",Nicholas Bailey,#N/A,2023,2023-33,"Language program management, Community engagement, and Project Briefs"
Cognition and Translation,Hélène Ballarin,#N/A,2023,2023-92,Storying and Oral Bible Translation
Cognitive Linguistics and BibleTranslation: A Case of Metaphor Translation in the Yoruba Bible,Olalekan Bamidele,olalekan-bamidele,2023,2023-56,Linguistics
OBT - Scripture Engagement and Outcomes,Lasar Banargee; Swapna Anna Alexander,#N/A,2023,2023-77,Scripture engagement
